fuel_id,vehicle_id,fill_date,fuel_type,litres,km_driven,cost_inr,station,km_per_litre,fill_year,fill_month,cost_per_km
34,VH216,2021-01-07,Diesel,37.52,452.0,2096.72,Indian Oil,12.05,2021,1,4.64
35,VH277,2021-01-08,CNG,47.41,361.5,4409.15,HP,7.62,2021,1,12.2
37,VH215,2021-01-08,Diesel,49.44,446.6,5374.34,Indian Oil,9.03,2021,1,12.03
38,VH179,2021-01-08,Petrol,15.9,547.4,3995.01,Reliance,34.43,2021,1,7.3
39,VH143,2021-01-08,Petrol,38.28,451.2,1896.32,Reliance,11.79,2021,1,4.2
40,VH314,2021-01-09,CNG,40.81,689.1,4634.71,Indian Oil,16.89,2021,1,6.73
41,VH026,2021-01-09,Petrol,49.26,668.1,4239.73,Shell,13.56,2021,1,6.35
42,VH218,2021-01-09,CNG,49.25,340.6,2445.67,BPCL,6.92,2021,1,7.18
43,VH476,2021-01-09,Petrol,33.79,392.9,5552.43,Reliance,11.63,2021,1,14.13
44,VH059,2021-01-09,Diesel,17.99,415.7,1890.0,HP,23.11,2021,1,4.55
45,VH346,2021-01-10,Diesel,46.21,252.1,3178.67,Reliance,5.46,2021,1,12.61
46,VH045,2021-01-10,Petrol,37.99,402.0,1925.4,Shell,10.58,2021,1,4.79
47,VH450,2021-01-10,CNG,29.99,587.4,5603.75,Indian Oil,19.59,2021,1,9.54
48,VH419,2021-01-10,Diesel,25.57,623.4,1659.23,Shell,24.38,2021,1,2.66
49,VH224,2021-01-11,Petrol,20.39,643.1,3415.94,BPCL,31.54,2021,1,5.31
50,VH350,2021-01-11,Petrol,28.28,207.3,5378.0,Reliance,7.33,2021,1,25.94
51,VH256,2021-01-11,Diesel,35.63,594.4,2631.22,HP,16.68,2021,1,4.43
52,VH110,2021-01-11,Petrol,36.49,451.3,1972.56,HP,12.37,2021,1,4.37
53,VH320,2021-01-11,CNG,41.22,303.1,2071.52,Shell,7.35,2021,1,6.83
54,VH340,2021-01-12,Petrol,31.31,449.4,3322.21,Indian Oil,14.35,2021,1,7.39
55,VH250,2021-01-12,Petrol,56.4,622.1,3428.62,BPCL,11.03,2021,1,5.51
56,VH077,2021-01-12,Petrol,37.31,417.1,4731.35,Indian Oil,11.18,2021,1,11.34
57,VH283,2021-01-12,Petrol,34.07,695.2,2570.68,Reliance,20.41,2021,1,3.7
58,VH087,2021-01-12,Petrol,17.17,508.3,4658.28,Shell,29.6,2021,1,9.16
59,VH250,2021-01-13,CNG,41.96,444.9,5995.39,Shell,10.6,2021,1,13.48
60,VH208,2021-01-13,Petrol,42.13,347.4,5389.13,HP,8.25,2021,1,15.51
62,VH012,2021-01-13,Petrol,37.39,505.3,5729.61,HP,13.51,2021,1,11.34
63,VH225,2021-01-13,Diesel,49.33,488.7,5959.99,Indian Oil,9.91,2021,1,12.2
64,VH358,2021-01-14,Diesel,54.03,458.4,4066.23,Shell,8.48,2021,1,8.87
65,VH301,2021-01-14,Diesel,17.67,468.9,2731.34,Shell,26.54,2021,1,5.82
66,VH384,2021-01-14,Petrol,29.32,621.8,5617.42,BPCL,21.21,2021,1,9.03
67,VH032,2021-01-14,Diesel,29.34,358.4,5298.88,Indian Oil,12.22,2021,1,14.78
68,VH054,2021-01-14,Diesel,44.57,475.1,1880.75,Reliance,10.66,2021,1,3.96
69,VH450,2021-01-15,Diesel,35.19,540.0,5713.69,BPCL,15.35,2021,1,10.58
70,VH242,2021-01-15,Petrol,49.99,304.9,3147.99,Shell,6.1,2021,1,10.32
71,VH369,2021-01-15,Diesel,37.39,662.4,2949.39,Reliance,17.72,2021,1,4.45
72,VH115,2021-01-15,Petrol,24.97,452.0,3044.71,HP,18.1,2021,1,6.74
73,VH471,2021-01-16,Petrol,37.39,226.6,2940.08,Indian Oil,6.06,2021,1,12.97
74,VH288,2021-01-16,Petrol,23.21,632.6,3822.11,HP,27.26,2021,1,6.04
75,VH399,2021-01-16,Petrol,37.39,664.9,4108.98,Shell,17.78,2021,1,6.18
76,VH104,2021-01-16,Petrol,24.76,596.8,3415.36,BPCL,24.1,2021,1,5.72
77,VH311,2021-01-16,Diesel,15.72,413.1,3356.61,HP,26.28,2021,1,8.13
78,VH297,2021-01-17,CNG,47.22,697.2,4817.91,Shell,14.76,2021,1,6.91
79,VH127,2021-01-17,Diesel,32.98,262.2,1513.62,HP,7.95,2021,1,5.77
80,VH040,2021-01-17,Petrol,16.02,468.3,5760.99,Indian Oil,29.23,2021,1,12.3
81,VH072,2021-01-17,Diesel,31.65,285.2,4714.95,HP,9.01,2021,1,16.53
82,VH235,2021-01-17,Diesel,55.74,419.7,4682.64,Indian Oil,7.53,2021,1,11.16
83,VH370,2021-01-18,Petrol,38.01,663.7,3398.84,Indian Oil,17.46,2021,1,5.12
84,VH433,2021-01-18,Diesel,59.4,597.1,5846.04,Reliance,10.05,2021,1,9.79
85,VH470,2021-01-18,Diesel,39.3,591.0,1501.45,BPCL,15.04,2021,1,2.54
86,VH247,2021-01-18,Petrol,58.33,376.9,1844.17,HP,6.46,2021,1,4.89
87,VH294,2021-01-18,Petrol,24.08,667.1,5118.29,Shell,27.7,2021,1,7.67
88,VH247,2021-01-19,Petrol,28.05,384.1,4824.15,Reliance,13.69,2021,1,12.56
90,VH034,2021-01-19,Petrol,59.41,518.9,4176.42,Reliance,8.73,2021,1,8.05
91,VH129,2021-01-19,Petrol,52.14,381.3,3894.24,HP,7.31,2021,1,10.21
92,VH010,2021-01-19,Diesel,37.39,276.9,3872.02,HP,7.41,2021,1,13.98
94,VH272,2021-01-20,Petrol,31.4,518.6,5971.81,BPCL,16.52,2021,1,11.52
95,VH216,2021-01-20,Diesel,37.39,670.3,5943.05,Reliance,17.93,2021,1,8.87
96,VH430,2021-01-20,Diesel,29.01,491.5,5917.57,Shell,16.94,2021,1,12.04
97,VH408,2021-01-21,Diesel,26.65,231.9,3969.08,Reliance,8.7,2021,1,17.12
98,VH240,2021-01-21,Diesel,32.48,215.0,2931.42,BPCL,6.62,2021,1,13.63
99,VH014,2021-01-21,Petrol,52.68,650.3,4020.5,Indian Oil,12.34,2021,1,6.18
100,VH090,2021-01-21,CNG,21.77,219.4,4302.1,Indian Oil,10.08,2021,1,19.61
101,VH423,2021-01-21,Diesel,28.77,507.6,2901.47,Indian Oil,17.64,2021,1,5.72
102,VH018,2021-01-22,CNG,26.75,349.0,4347.49,Shell,13.05,2021,1,12.46
103,VH340,2021-01-22,Diesel,28.33,543.8,4298.97,BPCL,19.2,2021,1,7.91
104,VH169,2021-01-22,CNG,31.23,342.4,5565.62,BPCL,10.96,2021,1,16.25
105,VH056,2021-01-22,Petrol,25.99,218.6,2569.22,Indian Oil,8.41,2021,1,11.75
106,VH164,2021-01-22,Petrol,57.42,565.4,4639.24,BPCL,9.85,2021,1,8.21
107,VH152,2021-01-23,Petrol,33.9,355.5,3528.43,BPCL,10.49,2021,1,9.93
108,VH090,2021-01-23,Petrol,20.14,475.4,2084.62,HP,23.6,2021,1,4.38
109,VH285,2021-01-23,Diesel,36.04,586.9,2922.82,Shell,16.28,2021,1,4.98
110,VH496,2021-01-23,Petrol,23.3,551.4,1757.75,BPCL,23.67,2021,1,3.19
111,VH022,2021-01-23,Petrol,24.73,374.3,2937.0,Indian Oil,15.14,2021,1,7.85
112,VH267,2021-01-24,Diesel,27.83,573.9,1810.56,Reliance,20.62,2021,1,3.15
113,VH297,2021-01-24,CNG,20.61,662.8,5664.5,Reliance,32.16,2021,1,8.55
114,VH433,2021-01-24,Diesel,47.45,505.0,1957.86,Shell,10.64,2021,1,3.88
115,VH246,2021-01-24,Diesel,50.64,452.0,5178.04,BPCL,8.93,2021,1,11.46
116,VH139,2021-01-24,Diesel,32.74,633.0,5577.57,HP,19.33,2021,1,8.81
117,VH052,2021-01-25,CNG,46.0,452.0,3604.52,BPCL,9.83,2021,1,7.97
118,VH067,2021-01-25,Diesel,32.5,375.8,1742.67,Indian Oil,11.56,2021,1,4.64
119,VH085,2021-01-25,CNG,22.38,695.9,4181.04,BPCL,31.09,2021,1,6.01
120,VH250,2021-01-25,Petrol,32.87,214.3,2556.46,Reliance,6.52,2021,1,11.93
121,VH331,2021-01-26,Diesel,40.06,452.0,2294.96,Reliance,11.28,2021,1,5.08
122,VH392,2021-01-26,Diesel,16.84,323.0,4050.44,Shell,19.18,2021,1,12.54
123,VH415,2021-01-26,Diesel,44.45,420.2,3103.72,Indian Oil,9.45,2021,1,7.39
124,VH123,2021-01-26,Diesel,48.42,452.0,4786.7,Shell,9.33,2021,1,10.59
125,VH202,2021-01-26,Diesel,53.7,322.2,4160.63,BPCL,6.0,2021,1,12.91
126,VH006,2021-01-27,CNG,19.62,312.4,5232.04,HP,15.92,2021,1,16.75
127,VH337,2021-01-27,Petrol,15.0,521.6,1762.74,Shell,34.77,2021,1,3.38
128,VH486,2021-01-27,Petrol,18.3,552.7,2557.14,Reliance,30.2,2021,1,4.63
130,VH224,2021-01-27,Petrol,49.45,425.2,5461.93,BPCL,8.6,2021,1,12.85
131,VH013,2021-01-28,Petrol,52.59,444.6,5160.44,Indian Oil,8.45,2021,1,11.61
132,VH006,2021-01-28,Diesel,38.27,335.9,4557.89,Indian Oil,8.78,2021,1,13.57
133,VH451,2021-01-28,Diesel,38.7,473.1,4083.32,Indian Oil,12.22,2021,1,8.63
134,VH411,2021-01-28,Diesel,28.43,277.3,4341.57,Reliance,9.75,2021,1,15.66
135,VH121,2021-01-28,Diesel,52.92,361.8,2461.23,HP,6.84,2021,1,6.8
136,VH045,2021-01-29,Diesel,52.34,556.6,4178.37,Shell,10.63,2021,1,7.51
137,VH362,2021-01-29,Petrol,32.65,636.9,3721.93,Reliance,19.51,2021,1,5.84
138,VH026,2021-01-29,Diesel,29.82,494.7,3229.96,HP,16.59,2021,1,6.53
140,VH293,2021-01-29,Petrol,16.18,539.4,5232.37,Shell,33.34,2021,1,9.7
141,VH277,2021-01-30,Petrol,53.7,648.8,1845.31,HP,12.08,2021,1,2.84
142,VH499,2021-01-30,Petrol,35.08,452.2,5935.78,BPCL,12.89,2021,1,13.13
143,VH284,2021-01-30,Diesel,34.86,446.8,2534.93,Shell,12.82,2021,1,5.67
144,VH210,2021-01-30,Diesel,45.11,695.7,2469.03,BPCL,15.42,2021,1,3.55
145,VH288,2021-01-31,Diesel,44.06,518.1,5747.17,Reliance,11.76,2021,1,11.09
146,VH359,2021-01-31,Petrol,26.97,603.0,3501.61,BPCL,22.36,2021,1,5.81
147,VH181,2021-01-31,Petrol,57.45,523.2,5124.14,Indian Oil,9.11,2021,1,9.79
148,VH253,2021-01-31,Petrol,59.38,310.5,2796.91,Reliance,5.23,2021,1,9.01
149,VH417,2021-01-31,Petrol,38.67,342.0,5429.27,BPCL,8.84,2021,1,15.88
150,VH282,2021-02-01,Petrol,40.26,532.9,5245.37,Reliance,13.24,2021,2,9.84
151,VH145,2021-02-01,Petrol,39.94,428.0,3837.65,Shell,10.72,2021,2,8.97
152,VH440,2021-02-01,Diesel,36.86,402.2,4672.75,Indian Oil,10.91,2021,2,11.62
154,VH349,2021-02-01,Petrol,26.01,642.2,3534.2,BPCL,24.69,2021,2,5.5
155,VH468,2021-02-02,Diesel,19.86,642.2,3723.92,Shell,32.34,2021,2,5.8
156,VH030,2021-02-02,Diesel,56.83,430.5,4752.62,Reliance,7.58,2021,2,11.04
157,VH377,2021-02-02,Diesel,24.59,550.4,3238.92,BPCL,22.38,2021,2,5.88
158,VH242,2021-02-02,Petrol,48.71,288.9,5825.53,HP,5.93,2021,2,20.16
159,VH005,2021-02-02,Diesel,24.17,451.9,1681.96,BPCL,18.7,2021,2,3.72
160,VH374,2021-02-03,CNG,58.21,419.4,3315.2,HP,7.2,2021,2,7.9
161,VH262,2021-02-03,Petrol,50.6,528.3,4712.33,Indian Oil,10.44,2021,2,8.92
162,VH106,2021-02-03,Petrol,56.34,434.8,3432.21,BPCL,7.72,2021,2,7.89
163,VH124,2021-02-03,CNG,57.79,449.2,2666.62,BPCL,7.77,2021,2,5.94
164,VH446,2021-02-03,CNG,18.8,347.9,3360.54,Indian Oil,18.51,2021,2,9.66
165,VH499,2021-02-04,Petrol,34.5,224.2,5466.83,Reliance,6.5,2021,2,24.38
166,VH394,2021-02-04,Petrol,44.16,658.5,3961.53,BPCL,14.91,2021,2,6.02
168,VH138,2021-02-04,Petrol,25.87,340.7,4521.85,Indian Oil,13.17,2021,2,13.27
169,VH106,2021-02-05,CNG,56.16,423.8,4253.3,Reliance,7.55,2021,2,10.04
170,VH213,2021-02-05,Petrol,24.94,359.5,4022.01,Indian Oil,14.41,2021,2,11.19
171,VH300,2021-02-05,CNG,53.98,476.0,3260.21,Indian Oil,8.82,2021,2,6.85
172,VH056,2021-02-05,Petrol,38.07,430.8,1824.9,Reliance,11.32,2021,2,4.24
173,VH132,2021-02-05,Petrol,38.19,452.0,4293.29,Reliance,11.84,2021,2,9.5
174,VH269,2021-02-06,CNG,31.83,244.0,3389.05,Reliance,7.67,2021,2,13.89
175,VH122,2021-02-06,Petrol,19.66,268.8,3429.44,Shell,13.67,2021,2,12.76
176,VH202,2021-02-06,Petrol,30.62,452.0,2553.36,HP,14.76,2021,2,5.65
177,VH208,2021-02-06,CNG,34.2,623.0,2622.39,Indian Oil,18.22,2021,2,4.21
178,VH275,2021-02-06,Petrol,36.56,250.3,5043.58,BPCL,6.85,2021,2,20.15
179,VH454,2021-02-07,Petrol,48.26,538.6,3657.14,HP,11.16,2021,2,6.79
180,VH090,2021-02-07,Petrol,30.84,596.0,1991.84,BPCL,19.33,2021,2,3.34
181,VH190,2021-02-07,Diesel,33.3,338.4,1706.33,BPCL,10.16,2021,2,5.04
182,VH265,2021-02-07,Diesel,55.77,534.1,2511.22,BPCL,9.58,2021,2,4.7
183,VH046,2021-02-07,CNG,48.87,543.3,3693.49,Shell,11.12,2021,2,6.8
184,VH312,2021-02-08,Diesel,16.03,553.9,4277.63,Shell,34.55,2021,2,7.72
185,VH330,2021-02-08,Petrol,51.54,645.4,2146.55,HP,12.52,2021,2,3.33
186,VH040,2021-02-08,Petrol,59.55,399.3,3452.37,Reliance,6.71,2021,2,8.65
187,VH067,2021-02-08,Diesel,57.29,321.8,1826.48,Shell,5.62,2021,2,5.68
188,VH113,2021-02-08,Diesel,52.62,471.9,1669.77,Indian Oil,8.97,2021,2,3.54
189,VH339,2021-02-09,CNG,43.31,231.3,5385.07,HP,5.34,2021,2,23.28
190,VH062,2021-02-09,CNG,27.52,367.0,4462.5,Indian Oil,13.34,2021,2,12.16
191,VH227,2021-02-09,Petrol,44.45,641.6,5014.92,BPCL,14.43,2021,2,7.82
192,VH174,2021-02-09,Diesel,46.3,466.0,2318.45,Indian Oil,10.06,2021,2,4.98
193,VH134,2021-02-10,Diesel,27.67,418.3,2949.71,Shell,15.12,2021,2,7.05
194,VH285,2021-02-10,Petrol,26.49,332.8,3497.06,Indian Oil,12.56,2021,2,10.51
195,VH275,2021-02-10,Petrol,32.86,325.2,4461.15,BPCL,9.9,2021,2,13.72
196,VH114,2021-02-10,CNG,43.85,318.3,3906.8,BPCL,7.26,2021,2,12.27
197,VH108,2021-02-10,Diesel,28.19,614.6,3981.56,Shell,21.8,2021,2,6.48
198,VH143,2021-02-11,Diesel,40.0,692.5,2206.24,HP,17.31,2021,2,3.19
199,VH057,2021-02-11,Diesel,55.47,452.0,3636.54,Reliance,8.15,2021,2,8.05
200,VH294,2021-02-11,Diesel,28.28,239.9,5207.09,HP,8.48,2021,2,21.71
201,VH277,2021-02-11,Petrol,37.39,575.5,3792.57,Reliance,15.39,2021,2,6.59
202,VH492,2021-02-11,Diesel,36.3,638.5,2398.84,Shell,17.59,2021,2,3.76
203,VH051,2021-02-12,Diesel,19.54,665.6,3360.29,Shell,34.06,2021,2,5.05
204,VH423,2021-02-12,CNG,37.39,514.4,4896.64,Shell,13.76,2021,2,9.52
205,VH471,2021-02-12,Diesel,30.24,453.4,2107.47,BPCL,14.99,2021,2,4.65
206,VH276,2021-02-12,CNG,26.64,510.3,4112.09,HP,19.16,2021,2,8.06
208,VH242,2021-02-13,CNG,48.19,527.7,3211.36,HP,10.95,2021,2,6.09
209,VH258,2021-02-13,CNG,54.8,554.8,1696.39,Reliance,10.12,2021,2,3.06
210,VH237,2021-02-13,Diesel,41.52,561.0,4348.97,Indian Oil,13.51,2021,2,7.75
211,VH032,2021-02-13,Petrol,34.6,481.5,1711.97,HP,13.92,2021,2,3.56
212,VH367,2021-02-13,Petrol,27.18,550.0,2362.23,Indian Oil,20.24,2021,2,4.29
213,VH348,2021-02-14,Diesel,41.24,519.4,1717.79,Shell,12.59,2021,2,3.31
214,VH248,2021-02-14,Diesel,42.81,257.8,2267.93,BPCL,6.02,2021,2,8.8
215,VH132,2021-02-14,Petrol,32.68,649.2,5347.19,BPCL,19.87,2021,2,8.24
216,VH263,2021-02-14,Diesel,57.15,511.4,4806.83,HP,8.95,2021,2,9.4
217,VH259,2021-02-15,Diesel,43.8,563.9,3038.34,Indian Oil,12.87,2021,2,5.39
218,VH281,2021-02-15,Petrol,52.69,371.4,5537.12,Indian Oil,7.05,2021,2,14.91
219,VH368,2021-02-15,Petrol,42.92,659.6,4493.32,Reliance,15.37,2021,2,6.81
220,VH250,2021-02-15,Petrol,29.24,451.3,3514.86,HP,15.43,2021,2,7.79
221,VH265,2021-02-15,Petrol,48.15,539.5,1807.5,HP,11.2,2021,2,3.35
222,VH215,2021-02-16,Petrol,25.36,676.1,4788.25,Indian Oil,26.66,2021,2,7.08
223,VH215,2021-02-16,Diesel,41.85,658.0,3189.87,Indian Oil,15.72,2021,2,4.85
224,VH497,2021-02-16,Petrol,33.11,522.4,2862.73,BPCL,15.78,2021,2,5.48
225,VH282,2021-02-16,Petrol,21.74,282.9,2797.23,HP,13.01,2021,2,9.89
226,VH488,2021-02-16,Diesel,33.6,675.3,1534.69,BPCL,20.1,2021,2,2.27
227,VH320,2021-02-17,CNG,28.96,692.1,4841.9,Shell,23.9,2021,2,7.0
228,VH018,2021-02-17,Petrol,20.05,251.7,2153.9,Shell,12.55,2021,2,8.56
229,VH472,2021-02-17,CNG,52.07,425.1,3842.9,Indian Oil,8.16,2021,2,9.04
230,VH347,2021-02-17,Petrol,37.44,474.1,1572.37,Reliance,12.66,2021,2,3.32
231,VH493,2021-02-17,Petrol,30.59,246.0,4325.47,Indian Oil,8.04,2021,2,17.58
232,VH002,2021-02-18,Diesel,37.72,294.8,3162.72,HP,7.82,2021,2,10.73
233,VH001,2021-02-18,Diesel,48.96,468.9,4338.36,Indian Oil,9.58,2021,2,9.25
235,VH464,2021-02-18,CNG,39.6,213.9,2698.5,Indian Oil,5.4,2021,2,12.62
236,VH447,2021-02-18,Petrol,36.56,656.2,1996.38,BPCL,17.95,2021,2,3.04
237,VH363,2021-02-19,Diesel,55.19,649.3,4407.32,Shell,11.76,2021,2,6.79
238,VH216,2021-02-19,Diesel,40.02,628.6,1988.49,BPCL,15.71,2021,2,3.16
239,VH164,2021-02-19,CNG,21.18,388.8,4276.96,HP,18.36,2021,2,11.0
240,VH191,2021-02-19,Petrol,32.49,445.4,2106.11,Indian Oil,13.71,2021,2,4.73
241,VH075,2021-02-20,Petrol,42.95,452.0,5745.1,HP,10.52,2021,2,12.71
242,VH026,2021-02-20,Diesel,17.07,452.0,3373.71,BPCL,26.48,2021,2,7.46
243,VH262,2021-02-20,CNG,54.81,460.7,2069.66,BPCL,8.41,2021,2,4.49
244,VH282,2021-02-20,Petrol,18.05,240.3,1688.15,BPCL,13.31,2021,2,7.03
245,VH221,2021-02-20,Petrol,16.38,337.0,2982.4,BPCL,20.57,2021,2,8.85
246,VH043,2021-02-21,Petrol,15.09,431.0,5511.24,BPCL,28.56,2021,2,12.79
247,VH122,2021-02-21,Diesel,45.77,676.8,2147.17,Indian Oil,14.79,2021,2,3.17
248,VH129,2021-02-21,Petrol,35.52,484.5,5058.74,Reliance,13.64,2021,2,10.44
249,VH265,2021-02-21,Petrol,19.63,548.0,3378.17,HP,27.92,2021,2,6.16
251,VH071,2021-02-22,Petrol,24.12,638.7,5434.31,Shell,26.48,2021,2,8.51
252,VH373,2021-02-22,Petrol,29.68,469.5,5990.18,HP,15.82,2021,2,12.76
253,VH374,2021-02-22,Petrol,23.0,660.6,1806.89,Indian Oil,28.72,2021,2,2.74
254,VH259,2021-02-22,Petrol,37.39,422.7,5083.36,HP,11.31,2021,2,12.03
255,VH445,2021-02-22,Petrol,49.11,541.5,1813.6,BPCL,11.03,2021,2,3.35
256,VH201,2021-02-23,Petrol,47.58,435.4,2916.57,Reliance,9.15,2021,2,6.7
257,VH130,2021-02-23,Petrol,16.98,271.3,4408.05,HP,15.98,2021,2,16.25
258,VH380,2021-02-23,Diesel,38.52,336.0,3512.8,Indian Oil,8.72,2021,2,10.45
259,VH330,2021-02-23,Petrol,40.9,452.0,4043.66,BPCL,11.05,2021,2,8.95
260,VH081,2021-02-23,Diesel,32.21,420.1,5847.86,HP,13.04,2021,2,13.92
261,VH254,2021-02-24,Petrol,29.48,524.7,5183.96,HP,17.8,2021,2,9.88
262,VH415,2021-02-24,Petrol,53.34,321.9,3136.51,BPCL,6.03,2021,2,9.74
263,VH065,2021-02-24,CNG,16.04,445.2,4199.75,Indian Oil,27.76,2021,2,9.43
264,VH378,2021-02-24,Petrol,43.14,452.0,1718.17,Reliance,10.48,2021,2,3.8
265,VH146,2021-02-25,Petrol,32.74,466.7,3538.04,Reliance,14.25,2021,2,7.58
266,VH134,2021-02-25,CNG,44.97,292.3,4237.78,BPCL,6.5,2021,2,14.5
267,VH102,2021-02-25,Diesel,23.91,467.0,4716.23,Shell,19.53,2021,2,10.1
268,VH489,2021-02-25,Diesel,25.74,382.1,5556.83,Indian Oil,14.84,2021,2,14.54
269,VH042,2021-02-25,Diesel,41.41,343.0,2773.76,Shell,8.28,2021,2,8.09
270,VH367,2021-02-26,Petrol,59.1,493.0,5559.77,Shell,8.34,2021,2,11.28
272,VH360,2021-02-26,CNG,26.2,650.3,1849.41,Indian Oil,24.82,2021,2,2.84
273,VH260,2021-02-26,Petrol,19.61,667.4,3211.5,Shell,34.03,2021,2,4.81
274,VH099,2021-02-26,Diesel,41.57,530.3,3644.68,BPCL,12.76,2021,2,6.87
275,VH388,2021-02-27,Petrol,33.9,351.6,3086.19,HP,10.37,2021,2,8.78
276,VH065,2021-02-27,Diesel,49.28,513.0,2021.73,BPCL,10.41,2021,2,3.94
277,VH297,2021-02-27,Petrol,38.76,500.8,3982.13,HP,12.92,2021,2,7.95
278,VH427,2021-02-27,Diesel,37.98,395.6,2092.89,Reliance,10.42,2021,2,5.29
279,VH223,2021-02-27,Petrol,44.09,343.6,5617.62,Shell,7.79,2021,2,16.35
280,VH245,2021-02-28,Diesel,20.69,284.2,5393.64,Reliance,13.74,2021,2,18.98
281,VH183,2021-02-28,Petrol,45.47,308.7,3638.47,Reliance,6.79,2021,2,11.79
282,VH403,2021-02-28,Diesel,36.98,526.5,1804.87,Indian Oil,14.24,2021,2,3.43
283,VH149,2021-02-28,Diesel,37.39,642.9,3984.92,Shell,17.19,2021,2,6.2
284,VH442,2021-02-28,CNG,21.24,392.5,4165.07,Reliance,18.48,2021,2,10.61
285,VH414,2021-03-01,Petrol,28.53,260.9,5497.9,HP,9.14,2021,3,21.07
287,VH391,2021-03-01,Petrol,39.89,403.0,4614.47,Indian Oil,10.1,2021,3,11.45
288,VH453,2021-03-01,Diesel,56.82,316.3,4032.62,Reliance,5.57,2021,3,12.75
289,VH320,2021-03-02,Diesel,46.01,361.3,2286.49,Reliance,7.85,2021,3,6.33
290,VH258,2021-03-02,CNG,56.69,320.8,2047.8,Reliance,5.66,2021,3,6.38
291,VH371,2021-03-02,Diesel,29.3,532.1,4622.78,Indian Oil,18.16,2021,3,8.69
292,VH451,2021-03-02,Diesel,37.39,519.3,3029.19,Shell,13.89,2021,3,5.83
293,VH384,2021-03-02,Petrol,51.1,656.2,5999.73,Reliance,12.84,2021,3,9.14
294,VH079,2021-03-03,CNG,51.2,549.9,5523.01,Reliance,10.74,2021,3,10.04
295,VH231,2021-03-03,Diesel,42.85,282.5,4045.73,BPCL,6.59,2021,3,14.32
296,VH357,2021-03-03,Petrol,41.08,575.8,4387.79,HP,14.02,2021,3,7.62
297,VH119,2021-03-03,Petrol,56.17,290.6,2214.99,Shell,5.17,2021,3,7.62
298,VH074,2021-03-03,Diesel,22.94,479.3,5523.02,Shell,20.89,2021,3,11.52
299,VH009,2021-03-04,CNG,42.74,238.5,3565.2,Shell,5.58,2021,3,14.95
